Unnamed: 0,층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분
10,1층,B블록,1,2,1층 B블록1열 2,871,673,-93,1층 D블록1열 8,1104.635234,56.24053905,37.19983721,100,1,0,7.418965051395747e-10,0.611,44.46744865026877,4.829487872151475,-1186.3839100166701
11,1층,B블록,1,3,1층 B블록1열 3,816,682,-93,1층 D블록1열 7,1067.534074,62.28224548,37.10265495,100,1,0,8.219677196897382e-10,0.641,42.27146842226545,4.997752012187373,-1223.5528075842815
12,1층,B블록,1,4,1층 B블록1열 4,761,691,-93,1층 D블록1열 6,1032.109975,68.33738902,36.84401686,100,1,0,9.095405665249144e-10,0.672,39.9198731850682,5.16974416108542,-1259.0426068285053
13,1층,B블록,1,5,1층 B블록1열 5,706,699,-93,1층 D블록1열 5,997.8406686,74.24168728,36.4415018,100,1,0,1.0065060714830783e-09,0.704,37.44527392723229,5.347799801117358,-1293.373399667927
14,1층,B블록,1,6,1층 B블록1열 6,650,706,-93,1층 D블록1열 4,964.1498846,79.95910687,35.86361603,100,1,0,1.1157485707197061e-09,0.736,34.79496332906017,5.535244303900735,-1327.1201741637565
15,1층,B블록,1,7,1층 B블록1열 7,595,715,-93,1층 D블록1열 3,934.8256522,84.96366578,34.92801056,100,1,0,1.2240753050708508e-09,0.769,31.92595524219869,5.709445664449032,-1356.4858830742523
16,1층,B블록,1,8,1층 B블록1열 8,539,720,-93,1층 D블록1열 2,904.1957753,89.75819166,33.89437966,100,1,0,1.352734540560986e-09,0.801,28.97875099120516,5.903530647611761,-1387.1523055269158
17,1층,B블록,1,9,1층 B블록1열 9,484,725,-93,1층 D블록1열 1,876.6584284,93.879638,32.54007559,100,1,0,1.4842558259690474e-09,0.832,25.886343703832488,6.089661309412993,-1414.7127741320205
18,1층,C블록,1,1,1층 C블록1열 1,319,737,-93,1층 C블록1열 12,808.4423294,103.0197079,26.21661793,100,1,0,1.892573983609592e-09,0.918,23.404689551032305,6.605703488627011,-1482.9667031299305
19,1층,C블록,1,2,1층 C블록1열 2,261,740,-93,1층 C블록1열 11,790.1708676,105.1916485,23.088407,100,1,0,2.026921635566986e-09,0.943,19.427883878369705,6.759154390484012,-1501.2111018203275
20,1층,C블록,1,3,1층 C블록1열 3,203,744,-93,1층 C블록1열 10,776.7843974,106.7165739,19.43249407,100,1,0,2.133528845506227e-09,0.965,15.26163477030059,6.876193782718223,-1514.5555742977747
21,1층,C블록,1,4,1층 C블록1열 4,145,745,-93,1층 C블록1열 9,764.6561319,108.0331211,15.60828108,100,1,0,2.236667737295622e-09,0.982,11.013832890351388,6.985796939182429,-1526.6368515398499
22,1층,C블록,1,5,1층 C블록1열 5,87,746,-93,1층 C블록1열 8,756.7919133,108.8628655,11.86115049,100,1,0,2.307121953251634e-09,0.993,6.65189927821464,7.058757570826749,-1534.4481767552968
23,1층,C블록,1,6,1층 C블록1열 6,29,747,-93,1층 C블록1열 7,753.3252949,109.2217795,9.190444907,100,1,0,2.339119175508569e-09,0.999,2.223217689773522,7.0914067397059135,-1537.8670832370146
24,1층,C블록,1,7,1층 C블록1열 7,-29,747,-93,1층 C블록1열 6,753.3252949,109.2217795,9.190444907,100,1,0,2.339119175508569e-09,0.999,2.223217689773522,7.0914067397059135,-1537.8670832370146
25,1층,C블록,1,8,1층 C블록1열 8,-87,746,-93,1층 C블록1열 5,756.7919133,108.8628655,11.86115049,100,1,0,2.307121953251634e-09,0.993,6.65189927821464,7.058757570826749,-1534.4481767552968
26,1층,C블록,1,9,1층 C블록1열 9,-145,745,-93,1층 C블록1열 4,764.6561319,108.0331211,15.60828108,100,1,0,2.236667737295622e-09,0.982,11.013832890351388,6.985796939182429,-1526.6368515398499
27,1층,C블록,1,10,1층 C블록1열 10,-203,744,-93,1층 C블록1열 3,776.7843974,106.7165739,19.43249407,100,1,0,2.133528845506227e-09,0.965,15.26163477030059,6.876193782718223,-1514.5555742977747
28,1층,C블록,1,11,1층 C블록1열 11,-261,740,-93,1층 C블록1열 2,790.1708676,105.1916485,23.088407,100,1,0,2.026921635566986e-09,0.943,19.427883878369705,6.759154390484012,-1501.2111018203275
29,1층,C블록,1,12,1층 C블록1열 12,-319,737,-93,1층 C블록1열 1,808.4423294,103.0197079,26.21661793,100,1,0,1.892573983609592e-09,0.918,23.404689551032305,6.605703488627011,-1482.9667031299305
30,1층,D블록,1,1,1층 D블록1열 1,-484,725,-93,1층 B블록1열 9,876.6584284,93.879638,32.54007559,100,1,0,1.4842558259690474e-09,0.832,25.886343703832488,6.089661309412993,-1414.7127741320205
31,1층,D블록,1,2,1층 D블록1열 2,-539,720,-93,1층 B블록1열 8,904.1957753,89.75819166,33.89437966,100,1,0,1.352734540560986e-09,0.801,28.97875099120516,5.903530647611761,-1387.1523055269158
32,1층,D블록,1,3,1층 D블록1열 3,-595,715,-93,1층 B블록1열 7,934.8256522,84.96366578,34.92801056,100,1,0,1.2240753050708508e-09,0.769,31.92595524219869,5.709445664449032,-1356.4858830742523
33,1층,D블록,1,4,1층 D블록1열 4,-650,706,-93,1층 B블록1열 6,964.1498846,79.95910687,35.86361603,100,1,0,1.1157485707197061e-09,0.736,34.79496332906017,5.535244303900735,-1327.1201741637565
34,1층,D블록,1,5,1층 D블록1열 5,-706,699,-93,1층 B블록1열 5,997.8406686,74.24168728,36.4415018,100,1,0,1.0065060714830783e-09,0.704,37.44527392723229,5.347799801117358,-1293.373399667927
35,1층,D블록,1,6,1층 D블록1열 6,-761,691,-93,1층 B블록1열 4,1032.109975,68.33738902,36.84401686,100,1,0,9.095405665249144e-10,0.672,39.9198731850682,5.16974416108542,-1259.0426068285053
36,1층,D블록,1,7,1층 D블록1열 7,-816,682,-93,1층 B블록1열 3,1067.534074,62.28224548,37.10265495,100,1,0,8.219677196897382e-10,0.641,42.27146842226545,4.997752012187373,-1223.5528075842815
37,1층,D블록,1,8,1층 D블록1열 8,-871,673,-93,1층 B블록1열 2,1104.635234,56.24053905,37.19983721,100,1,0,7.418965051395747e-10,0.611,44.46744865026877,4.829487872151475,-1186.3839100166701
38,1층,D블록,1,9,1층 D블록1열 9,-927,664,-93,1층 B블록1열 1,1144.060313,50.30501326,37.15420539,100,1,0,6.678104934290977e-10,0.582,46.54620427252744,4.662685515002913,-1146.8909687144987
39,1층,E블록,1,1,1층 E블록1열 1,-1086,633,-93,1층 A블록1열 9,1260.44992,35.59621732,36.62333308,100,1,0,4.993708815161483e-10,0.504,45.76394643752352,4.231309779514558,-1030.300543253486
40,1층,E블록,1,2,1층 E블록1열 2,-1133,624,-93,1층 A블록1열 8,1296.809161,32.03295419,36.33340107,100,1,0,4.585342604485697e-10,0.482,47.156912906996965,4.112467468646384,-993.9012063978109
41,1층,E블록,1,3,1층 E블록1열 3,-1178,613,-93,1층 A블록1열 7,1331.203215,28.85437667,36.07765181,100,1,0,4.239034259886189e-10,0.462,48.50942294400048,4.006038602266064,-959.4724007287891
42,1층,E블록,1,4,1층 E블록1열 4,-1224,602,-93,1층 A블록1열 6,1367.197499,25.93399669,35.76936128,100,1,0,3.91296744073336e-10,0.441,49.81135118055101,3.900405964954687,-923.4466541263039
43,1층,E블록,1,5,1층 E블록1열 5,-1270,591,-93,1층 A블록1열 5,1403.862529,23.31483279,35.42695773,100,1,0,3.6143171057209846e-10,0.422,51.04557996837705,3.798386570368115,-886.753983984636
44,1층,E블록,1,6,1층 E블록1열 6,-1315,580,-93,1층 A블록1열 4,1440.234009,21.00973641,35.06957522,100,1,0,3.3473476068752647e-10,0.404,52.20011796341036,3.702327143374511,-850.35880773529
45,1층,E블록,1,7,1층 E블록1열 7,-1361,568,-93,1층 A블록1열 3,1477.698887,18.86985306,34.69538503,100,1,0,3.0991468929808434e-10,0.385,53.34795912079002,3.608334175721739,-812.8726585885189
46,1층,E블록,1,8,1층 E블록1열 8,-1406,555,-93,1층 A블록1열 2,1514.433888,16.94559359,34.33174593,100,1,0,2.8790489084037086e-10,0.367,54.45972179443377,3.520696590701476,-776.1192960778432
47,1층,E블록,1,9,1층 E블록1열 9,-1451,542,-93,1층 A블록1열 1,1551.713247,15.21990005,33.94842128,100,1,0,2.6764898257464805e-10,0.35,55.518252895078966,3.436010308032837,-738.8240953856938
48,1층,A블록,2,1,1층 A블록2열 1,1478,634,-76,1층 E블록2열 9,1610.036024,17.69610973,32.0437041,100,0,0,2.396035343744969e-10,0.394,53.00110037039899,2.705590381667446,-680.5200523366154
49,1층,A블록,2,2,1층 A블록2열 2,1432,646,-76,1층 E블록2열 8,1572.805137,19.42005881,32.35487735,100,0,0,2.5702492620516046e-10,0.411,51.93744259710844,2.769685515125862,-717.7661010706307
50,1층,A블록,2,3,1층 A블록2열 3,1386,659,-76,1층 E블록2열 7,1536.571834,21.35143528,32.62476865,100,0,0,2.7563946329667417e-10,0.429,50.78876487501413,2.835049131230903,-754.016916598692
51,1층,A블록,2,4,1층 A블록2열 4,1339,671,-76,1층 E블록2열 6,1499.645958,23.47419782,32.89748766,100,0,0,2.965061980405441e-10,0.448,49.60202662681365,2.904915875955586,-790.9627841020524
52,1층,A블록,2,5,1층 A블록2열 5,1293,683,-76,1층 E블록2열 5,1464.279345,25.76427891,33.12849882,100,0,0,3.1851375429882944e-10,0.467,48.37409283419043,2.9751404407948714,-826.3514979478108
53,1층,A블록,2,6,1층 A블록2열 6,1246,694,-76,1층 E블록2열 4,1428.26048,28.28214364,33.35685747,100,0,0,3.4322407379451866e-10,0.487,47.10136798497739,3.0502396843854456,-862.395390564617
54,1층,A블록,2,7,1층 A블록2열 7,1200,705,-76,1층 E블록2열 3,1393.843965,30.982196,33.53621533,100,0,0,3.6928147591872055e-10,0.507,45.78416701090296,3.1256294871655745,-896.8391758556791
55,1층,A블록,2,8,1층 A블록2열 8,1153,716,-76,1층 E블록2열 2,1359.353155,33.97219006,33.67947992,100,0,0,3.981100135884493e-10,0.528,44.37858796778699,3.205017746669315,-931.3606302084896
56,1층,A블록,2,9,1층 A블록2열 9,1107,725,-76,1층 E블록2열 1,1325.462184,37.0841692,33.81709397,100,0,0,4.2943553146530776e-10,0.548,42.99668267747907,3.287056298352718,-965.2842142098475
57,1층,B블록,2,1,1층 B블록2열 1,952,756,-76,1층 D블록2열 10,1218.037766,49.19470358,33.82220515,100,0,0,5.53372710030728e-10,0.622,43.79200508747112,3.5773190248807007,-1072.8683281562764
58,1층,B블록,2,2,1층 B블록2열 2,900,764,-76,1층 D블록2열 9,1182.992815,53.66283621,33.71368187,100,0,0,6.040232826793505e-10,0.647,41.91815705956655,3.683437564210032,-1107.9602406109025
59,1층,B블록,2,3,1층 B블록2열 3,848,773,-76,1층 D블록2열 8,1149.960434,58.24596951,33.45447825,100,0,0,6.575841030688878e-10,0.674,39.89477109886874,3.789395936000736,-1141.039278495056
60,1층,B블록,2,4,1층 B블록2열 4,796,782,-76,1층 D블록2열 7,1118.443561,62.83795742,33.06018988,100,0,0,7.147559498804066e-10,0.701,37.7540285425066,3.896340816460933,-1172.6011735559898
61,1층,B블록,2,5,1층 B블록2열 5,744,789,-76,1층 D블록2열 6,1087.121428,67.39603107,32.59352037,100,0,0,7.783336944584475e-10,0.728,35.56432493017922,4.008783113721758,-1203.966805681911
62,1층,B블록,2,6,1층 B블록2열 6,692,796,-76,1층 D블록2열 5,1057.476241,71.8011178,31.95921826,100,0,0,8.456451146287836e-10,0.755,33.247672204973696,4.121356518659485,-1233.6511143721145
63,1층,B블록,2,7,1층 B블록2열 7,640,804,-76,1층 D블록2열 4,1030.432919,75.91261568,31.09034813,100,0,0,9.139886999161195e-10,0.782,30.766201788446796,4.229714345529727,-1260.726407845116
64,1층,B블록,2,8,1층 B블록2열 8,587,811,-76,1층 D블록2열 3,1004.0249,79.82708392,30.03479051,100,0,0,9.880218508079535e-10,0.81,28.142650287765445,4.341175574301715,-1287.1608642226267
65,1층,B블록,2,9,1층 B블록2열 9,535,815,-76,1층 D블록2열 2,977.8680893,83.48680989,28.89407806,100,0,0,1.0694467815509804e-09,0.836,25.528279600973697,4.45752863678392,-1313.3395306770235
66,1층,B블록,2,10,1층 B블록2열 10,482,820,-76,1층 D블록2열 1,954.2012366,86.77468919,27.42450969,100,0,0,1.1510125921228115e-09,0.862,22.692934348084904,4.56831980033236,-1337.0186234332323
67,1층,C블록,2,1,1층 C블록2열 1,324,832,-76,1층 C블록2열 12,896.0892813,94.34134424,21.39580403,100,0,0,1.3897803040217092e-09,0.932,21.277086706577656,4.865270431382922,-1395.1574372246635
68,1층,C블록,2,2,1층 C블록2열 2,265,835,-76,1층 C블록2열 11,879.3327015,96.36025757,18.49731695,100,0,0,1.4707549769787943e-09,0.953,17.607630448107248,4.9582130505621285,-1411.8894540789922
69,1층,C블록,2,3,1층 C블록2열 3,206,839,-76,1층 C블록2열 10,867.2560176,97.80486877,15.22237101,100,0,0,1.5330560527727275e-09,0.971,13.79496564297584,5.027433501585144,-1423.929439836821
70,1층,C블록,2,4,1층 C블록2열 4,147,840,-76,1층 C블록2열 9,856.1454316,99.04923717,11.82770058,100,0,0,1.59351945157717e-09,0.985,9.926245506651703,5.092848034595189,-1434.9990270871592
71,1층,C블록,2,5,1층 C블록2열 5,88,841,-76,1층 C블록2열 8,849.0,99.83991077,8.481368055,100,0,0,1.634093600773602e-09,0.995,5.973539679441219,5.135825612252396,-1442.0977557217686
72,1층,C블록,2,6,1층 C블록2열 6,29,842,-76,1층 C블록2열 7,845.920209,100.1848151,5.987950301,100,0,0,1.6520066793492651e-09,0.999,1.9725903376509333,5.1545744283970265,-1445.1339722417629
73,1층,C블록,2,7,1층 C블록2열 7,-29,842,-76,1층 C블록2열 6,845.920209,100.1848151,5.987950301,100,0,0,1.6520066793492651e-09,0.999,1.9725903376509333,5.1545744283970265,-1445.1339722417629
74,1층,C블록,2,8,1층 C블록2열 8,-88,841,-76,1층 C블록2열 5,849.0,99.83991077,8.481368055,100,0,0,1.634093600773602e-09,0.995,5.973539679441219,5.135825612252396,-1442.0977557217686
75,1층,C블록,2,9,1층 C블록2열 9,-147,840,-76,1층 C블록2열 4,856.1454316,99.04923717,11.82770058,100,0,0,1.59351945157717e-09,0.985,9.926245506651703,5.092848034595189,-1434.9990270871592
76,1층,C블록,2,10,1층 C블록2열 10,-206,839,-76,1층 C블록2열 3,867.2560176,97.80486877,15.22237101,100,0,0,1.5330560527727275e-09,0.971,13.79496564297584,5.027433501585144,-1423.929439836821
77,1층,C블록,2,11,1층 C블록2열 11,-265,835,-76,1층 C블록2열 2,879.3327015,96.36025757,18.49731695,100,0,0,1.4707549769787943e-09,0.953,17.607630448107248,4.9582130505621285,-1411.8894540789922
78,1층,C블록,2,12,1층 C블록2열 12,-324,832,-76,1층 C블록2열 1,896.0892813,94.34134424,21.39580403,100,0,0,1.3897803040217092e-09,0.932,21.277086706577656,4.865270431382922,-1395.1574372246635
79,1층,D블록,2,1,1층 D블록2열 1,-482,820,-76,1층 B블록2열 10,954.2012366,86.77468919,27.42450969,100,0,0,1.1510125921228115e-09,0.862,22.692934348084904,4.56831980033236,-1337.0186234332323
80,1층,D블록,2,2,1층 D블록2열 2,-535,815,-76,1층 B블록2열 9,977.8680893,83.48680989,28.89407806,100,0,0,1.0694467815509804e-09,0.836,25.528279600973697,4.45752863678392,-1313.3395306770235
81,1층,D블록,2,3,1층 D블록2열 3,-587,811,-76,1층 B블록2열 8,1004.0249,79.82708392,30.03479051,100,0,0,9.880218508079535e-10,0.81,28.142650287765445,4.341175574301715,-1287.1608642226267
82,1층,D블록,2,4,1층 D블록2열 4,-640,804,-76,1층 B블록2열 7,1030.432919,75.91261568,31.09034813,100,0,0,9.139886999161195e-10,0.782,30.766201788446796,4.229714345529727,-1260.726407845116
83,1층,D블록,2,5,1층 D블록2열 5,-692,796,-76,1층 B블록2열 6,1057.476241,71.8011178,31.95921826,100,0,0,8.456451146287836e-10,0.755,33.247672204973696,4.121356518659485,-1233.6511143721145
84,1층,D블록,2,6,1층 D블록2열 6,-744,789,-76,1층 B블록2열 5,1087.121428,67.39603107,32.59352037,100,0,0,7.783336944584475e-10,0.728,35.56432493017922,4.008783113721758,-1203.966805681911
85,1층,D블록,2,7,1층 D블록2열 7,-796,782,-76,1층 B블록2열 4,1118.443561,62.83795742,33.06018988,100,0,0,7.147559498804066e-10,0.701,37.7540285425066,3.896340816460933,-1172.6011735559898
86,1층,D블록,2,8,1층 D블록2열 8,-848,773,-76,1층 B블록2열 3,1149.960434,58.24596951,33.45447825,100,0,0,6.575841030688878e-10,0.674,39.89477109886874,3.789395936000736,-1141.039278495056
87,1층,D블록,2,9,1층 D블록2열 9,-900,764,-76,1층 B블록2열 2,1182.992815,53.66283621,33.71368187,100,0,0,6.040232826793505e-10,0.647,41.91815705956655,3.683437564210032,-1107.9602406109025
88,1층,D블록,2,10,1층 D블록2열 10,-952,756,-76,1층 B블록2열 1,1218.037766,49.19470358,33.82220515,100,0,0,5.53372710030728e-10,0.622,43.79200508747112,3.5773190248807007,-1072.8683281562764
89,1층,E블록,2,1,1층 E블록2열 1,-1107,725,-76,1층 A블록2열 9,1325.462184,37.0841692,33.81709397,100,0,0,4.2943553146530776e-10,0.548,42.99668267747907,3.287056298352718,-965.2842142098475
90,1층,E블록,2,2,1층 E블록2열 2,-1153,716,-76,1층 A블록2열 8,1359.353155,33.97219006,33.67947992,100,0,0,3.981100135884493e-10,0.528,44.37858796778699,3.205017746669315,-931.3606302084896
91,1층,E블록,2,3,1층 E블록2열 3,-1200,705,-76,1층 A블록2열 7,1393.843965,30.982196,33.53621533,100,0,0,3.6928147591872055e-10,0.507,45.78416701090296,3.1256294871655745,-896.8391758556791
92,1층,E블록,2,4,1층 E블록2열 4,-1246,694,-76,1층 A블록2열 6,1428.26048,28.28214364,33.35685747,100,0,0,3.4322407379451866e-10,0.487,47.10136798497739,3.0502396843854456,-862.395390564617
93,1층,E블록,2,5,1층 E블록2열 5,-1293,683,-76,1층 A블록2열 5,1464.279345,25.76427891,33.12849882,100,0,0,3.1851375429882944e-10,0.467,48.37409283419043,2.9751404407948714,-826.3514979478108
94,1층,E블록,2,6,1층 E블록2열 6,-1339,671,-76,1층 A블록2열 4,1499.645958,23.47419782,32.89748766,100,0,0,2.965061980405441e-10,0.448,49.60202662681365,2.904915875955586,-790.9627841020524
95,1층,E블록,2,7,1층 E블록2열 7,-1386,659,-76,1층 A블록2열 3,1536.571834,21.35143528,32.62476865,100,0,0,2.7563946329667417e-10,0.429,50.78876487501413,2.835049131230903,-754.016916598692
96,1층,E블록,2,8,1층 E블록2열 8,-1432,646,-76,1층 A블록2열 2,1572.805137,19.42005881,32.35487735,100,0,0,2.5702492620516046e-10,0.411,51.93744259710844,2.769685515125862,-717.7661010706307
97,1층,E블록,2,9,1층 E블록2열 9,-1478,634,-76,1층 A블록2열 1,1610.036024,17.69610973,32.0437041,100,0,0,2.396035343744969e-10,0.394,53.00110037039899,2.705590381667446,-680.5200523366154
98,1층,A블록,3,1,1층 A블록3열 1,1503,725,-59,1층 E블록3열 9,1669.764954,19.73172493,30.25350004,100,0,0,2.1479985073591382e-10,0.434,50.28390686382932,2.024928600232073,-620.8035080649997
99,1층,A블록,3,2,1층 A블록3열 2,1457,738,-59,1층 E블록3열 8,1634.311476,21.44296823,30.45790041,100,0,0,2.2908439638061814e-10,0.452,49.17197149468154,2.0688747191669457,-656.271047491057
100,1층,A블록,3,3,1층 A블록3열 3,1411,751,-59,1층 E블록3열 7,1599.50086,23.29608515,30.63529273,100,0,0,2.443692557928111e-10,0.47,48.01111847883961,2.113920741180787,-691.0973866267578
101,1층,A블록,3,4,1층 A블록3열 4,1362,764,-59,1층 E블록3열 6,1562.760698,25.41081572,30.80696368,100,0,0,2.6201283017324176e-10,0.489,46.74530737320187,2.1636419192839087,-727.8560875620084
102,1층,A블록,3,5,1층 A블록3열 5,1315,775,-59,1층 E블록3열 5,1527.524468,27.56649085,30.96651204,100,0,0,2.805662796630754e-10,0.508,45.52198378738824,2.2135763799286314,-763.1118581574585
103,1층,A블록,3,6,1층 A블록3열 6,1269,786,-59,1층 E블록3열 4,1493.866795,29.84768121,31.08199217,100,0,0,2.9996071338423104e-10,0.527,44.26164147531977,2.2634751963901194,-796.7905690595451
104,1층,A블록,3,7,1층 A블록3열 7,1222,798,-59,1층 E블록3열 3,1460.674159,32.36728653,31.14030601,100,0,0,3.2087801435751215e-10,0.547,42.889454418346,2.314938528672532,-830.0066303898009
105,1층,A블록,3,8,1층 A블록3열 8,1172,809,-59,1층 E블록3열 2,1425.323121,35.194141,31.19076295,100,0,0,3.4535043675103287e-10,0.568,41.41883632053635,2.372386353265044,-865.3845412845284
106,1층,A블록,3,9,1층 A블록3열 9,1125,819,-59,1층 E블록3열 1,1392.791083,38.01878031,31.19293508,100,0,0,3.7011958542192924e-10,0.589,39.98049048254163,2.427832042154704,-897.9436552567242
107,1층,B블록,3,1,1층 B블록3열 1,968,850,-59,1층 D블록3열 10,1289.575512,48.46934648,30.80709083,100,0,0,4.662938280470867e-10,0.66,40.95385302858961,2.622282603215295,-1001.2927192299813
108,1층,B블록,3,2,1층 B블록3열 2,915,858,-59,1층 D블록3열 9,1255.734845,52.25406152,30.56114317,100,0,0,5.050171927328913e-10,0.684,39.0815563272612,2.693001622449145,-1035.1692910630086
109,1층,B블록,3,3,1층 B블록3열 3,862,867,-59,1층 D블록3열 8,1224.015523,56.09463877,30.16994981,100,0,0,5.453046778501284e-10,0.709,37.07450418638621,2.762841925493946,-1066.9235055110994
110,1층,B블록,3,4,1층 B블록3열 4,809,876,-59,1층 D블록3열 7,1193.875203,59.92212737,29.649394,100,0,0,5.876560400043218e-10,0.735,34.96316396826031,2.8326482277517786,-1097.0969092757573
111,1층,B블록,3,5,1층 B블록3열 5,756,883,-59,1층 D블록3열 6,1163.918382,63.72277125,29.05601341,100,0,0,6.34209025995786e-10,0.76,32.80941137598297,2.905616435573636,-1127.085438295372
112,1층,B블록,3,6,1층 B블록3열 6,703,891,-59,1층 D블록3열 5,1136.473053,67.3676413,28.27020873,100,0,0,6.812751879545555e-10,0.785,30.51367379381508,2.975848223946495,-1154.5578968114644
113,1층,B블록,3,7,1층 B블록3열 7,650,898,-59,1층 D블록3열 4,1110.128371,70.85760149,27.34835448,100,0,0,7.309377541053076e-10,0.81,28.138369241097337,3.0465345378405986,-1180.9257756646796
114,1층,B블록,3,8,1층 B블록3열 8,597,905,-59,1층 D블록3열 3,1085.778523,74.10988854,26.23855759,100,0,0,7.812252275085063e-10,0.835,25.65177334277522,3.114923274066851,-1205.2931433915685
115,1층,B블록,3,9,1층 B블록3열 9,544,910,-59,1층 D블록3열 2,1061.846034,77.1939777,25.00306812,100,0,0,8.352478225229083e-10,0.858,23.11126922748069,3.185200794939987,-1229.2391281379482
116,1층,B블록,3,10,1층 B블록3열 10,491,915,-59,1층 D블록3열 1,1040.0899,79.9869919,23.55177674,100,0,0,8.887658578317914e-10,0.881,20.45873592323084,3.2518982935288423,-1251.0020397403612
117,1층,C블록,3,1,1층 C블록3열 1,330,927,-59,1층 C블록3열 12,985.7535189,86.71222784,17.84598507,100,0,0,1.0439867620848306e-09,0.942,19.59507122844833,3.431357342798925,-1305.3607399110842
118,1층,C블록,3,2,1층 C블록3열 2,270,930,-59,1층 C블록3열 11,970.1963719,88.54452821,15.22688034,100,0,0,1.0950175035838171e-09,0.96,16.189206257026935,3.4864468003889644,-1320.8954162367666
119,1층,C블록,3,3,1층 C블록3열 3,210,934,-59,1층 C블록3열 10,959.1334631,89.87472598,12.32954378,100,0,0,1.1333469235556135e-09,0.976,12.671624901389231,3.526711007516786,-1331.9258984298206
120,1층,C블록,3,4,1층 C블록3열 4,150,935,-59,1층 C블록3열 9,948.7918634,91.02152934,9.333145033,100,0,0,1.1708119463355562e-09,0.987,9.114175054791223,3.565200716688476,-1342.231264133269
121,1층,C블록,3,5,1층 C블록3열 5,90,936,-59,1층 C블록3열 8,942.1661212,91.75671862,6.330876594,100,0,0,1.1956871146197396e-09,0.995,5.492324557127452,3.590305587649439,-1348.8151169838304
122,1층,C블록,3,6,1층 C블록3열 6,30,937,-59,1층 C블록3열 7,939.3348711,92.08246348,3.921171615,100,0,0,1.2065315000109935e-09,0.999,1.8338168743501435,3.6011413819108777,-1351.6053412702083
123,1층,C블록,3,7,1층 C블록3열 7,-30,937,-59,1층 C블록3열 6,939.3348711,92.08246348,3.921171615,100,0,0,1.2065315000109935e-09,0.999,1.8338168743501435,3.6011413819108777,-1351.6053412702083
124,1층,C블록,3,8,1층 C블록3열 8,-90,936,-59,1층 C블록3열 5,942.1661212,91.75671862,6.330876594,100,0,0,1.1956871146197396e-09,0.995,5.492324557127452,3.590305587649439,-1348.8151169838304
125,1층,C블록,3,9,1층 C블록3열 9,-150,935,-59,1층 C블록3열 4,948.7918634,91.02152934,9.333145033,100,0,0,1.1708119463355562e-09,0.987,9.114175054791223,3.565200716688476,-1342.231264133269
126,1층,C블록,3,10,1층 C블록3열 10,-210,934,-59,1층 C블록3열 3,959.1334631,89.87472598,12.32954378,100,0,0,1.1333469235556135e-09,0.976,12.671624901389231,3.526711007516786,-1331.9258984298206
